POS_NEW,POS_7DAYAVG,NEG_NEW,NEG_7DAYAVG,DTH_NEW,DTH_7DAYAVG,TEST_NEW,TEST_7DAYAVG,HOSP_NEW,HOSP_NO_NEW,HOSP_UNK_NEW,POS_FEM_NEW,POS_MALE_NEW,INCREASE
943,775.29,11472,10477.71,7,5.71,12415,11253,45,548,350,477,463,1
1021,779.86,9418,9952.14,7,5,10439,10732,65,637,319,524,496,0
829,731.86,10506,9739.14,13,6,11335,10471,40,480,309,396,434,0
685,741,5414,9541.57,1,5.86,6099,10282.57,29,313,343,337,348,0
455,733.57,5507,9234,0,5.86,5962,9967.57,23,240,192,251,203,1
634,720.71,9357,8731.43,13,6.57,9991,9452.14,53,504,77,311,318,1
663,747.14,8766,8634.29,8,7,9429,9381.43,50,442,171,316,346,1
740,718.14,9131,8299.86,7,7,9871,9018,39,387,314,344,393,1
826,690.29,9744,8346.43,1,6.14,10570,9036.71,36,537,253,407,418,1
950,707.57,7750,7952.71,13,6.14,8700,8660.29,40,506,404,437,513,0
453,674.43,4361,7802.29,0,6,4814,8476.71,13,235,205,210,242,0
392,665.43,4473,7654.57,0,6,4865,8320,15,226,151,212,178,1
638,666,9349,7653.43,13,6,9987,8319.43,37,479,122,299,340,1
768,681,9610,7774,6,5.71,10378,8455,41,476,251,353,413,1
878,700.71,9913,7885.71,11,6.29,10791,8586.43,33,554,291,433,446,0
843,703.14,8313,7681.29,2,6.43,9156,8384.43,52,510,281,450,387,0
819,684.43,7933,7707.43,6,5.43,8752,8391.86,39,496,284,424,395,0
537,696.43,4562,7736.14,3,5.86,5099,8432.57,29,270,238,273,262,0
266,678.43,3552,7604.57,0,5.86,3818,8283,13,137,116,128,136,1
981,727.43,10863,7820.86,8,5.14,11844,8548.29,61,691,229,455,521,0
545,695.57,7831,7566.71,12,6,8376,8262.29,38,377,130,282,264,1
727,674,8451,7357.86,4,5,9178,8031.86,30,409,288,362,363,1
1498,767.57,10204,7628,7,5.71,11702,8395.57,52,791,655,720,775,0
946,785.71,7075,7505.43,15,7,8021,8291.14,50,623,273,491,452,0
893,836.57,4616,7513.14,0,6.57,5509,8349.71,22,417,454,471,418,0
567,879.57,4899,7705.57,0,6.57,5466,8585.14,19,345,203,286,280,1
717,841.86,3366,6634.57,0,5.43,4083,7476.43,29,325,363,367,348,1
857,886.43,8014,6660.71,15,5.86,8871,7547.14,55,684,118,428,431,1
1547,1003.57,7275,6492.71,10,6.71,8822,7496.29,49,730,768,795,742,0
1369,985.14,8586,6261.57,4,6.29,9955,7246.71,41,683,645,709,662,0
1353,1043.29,10271,6718.14,12,5.86,11624,7761.43,46,856,451,737,625,1
1582,1141.71,6153,6937.71,1,6,7735,8079.43,23,688,871,804,776,0
771,1170.86,3149,6687.71,0,6,3920,7858.57,18,343,410,379,390,1
1348,1261,10918,7766.57,10,7.43,12266,9027.57,56,907,385,661,688,1
1408,1339.71,10788,8162.86,8,6.43,12196,9502.57,48,824,536,680,727,1
2034,1409.29,9411,8468,3,5.43,11445,9877.29,68,990,976,1038,991,1
2533,1575.57,10534,8746.29,7,5.86,13067,10321.86,47,1100,1386,1224,1305,0
